epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00046,0.82495,1.6613,1.4054,0.90376,0.56071,0.80773,0.44308,1.40657,3.37356,2.88688,0.0928,0.0008,0.0008
2,8.93647,0.84345,0.99421,1.34408,0.01897,0.38806,0.01637,0.00241,3.46767,15.5408,7.04261,0.084672,0.00167195,0.00167195
3,12.8599,0.84713,0.8811,1.37353,0.01314,0.8806,0.01285,0.00265,3.25023,37.249,8.04377,0.0765142,0.0025142,0.0025142
4,16.7758,0.89145,0.84195,1.37499,0.01552,0.79104,0.01469,0.00215,3.25075,72.8364,12.204,0.0683268,0.00332675,0.00332675
5,20.694,0.84534,0.773,1.37133,0.03015,0.91045,0.03936,0.01417,1.73185,309.638,17.3089,0.0601096,0.0041096,0.0041096
6,24.6004,0.91083,0.77604,1.37805,0.03015,0.91045,0.03936,0.01417,4.67701,10.3604,18.2089,0.0518628,0.00486275,0.00486275
7,28.5284,0.85737,0.73742,1.36029,0.00118,0.01493,0.0006,0.00018,2.69623,10.3921,10.6261,0.0435862,0.0055862,0.0055862
8,32.4398,0.82954,0.74167,1.36598,0.01698,0.14925,0.00978,0.00282,4.00677,7.52328,13.1215,0.03528,0.00627995,0.00627995
9,36.3464,0.80641,0.66921,1.31267,0.01359,0.0597,0.00739,0.00205,3.19196,7.54259,10.1934,0.026944,0.006944,0.006944
10,40.2584,0.88427,0.74293,1.4617,0.0046,0.02985,0.00288,0.00086,3.53825,11.0264,13.0321,0.0185783,0.00757835,0.00757835
11,44.1884,0.8051,0.63373,1.27506,0.08,0.08955,0.03351,0.01389,3.02338,5.91043,7.36971,0.010183,0.008183,0.008183
12,48.0973,0.79554,0.63335,1.29165,0.00122,0.02985,0.00066,0.00023,3.17095,8.7247,9.09598,0.008185,0.008185,0.008185
13,52.0418,0.7872,0.61295,1.27892,0.01524,0.0597,0.00743,0.00205,3.14033,5.04743,5.50271,0.00802,0.00802,0.00802
14,55.9865,0.77144,0.57946,1.27497,0.16011,0.76119,0.14434,0.06868,2.7723,3.41374,7.99809,0.007855,0.007855,0.007855
15,60.0159,0.6795,0.52121,1.19108,0.37837,0.85075,0.35918,0.19269,2.43342,2.79995,6.29793,0.00769,0.00769,0.00769
16,63.9661,0.70047,0.54224,1.18673,0.38038,0.91626,0.45124,0.22579,2.52246,3.14301,6.49874,0.007525,0.007525,0.007525
17,67.8999,0.68639,0.53743,1.22069,0.75968,0.75495,0.81484,0.45836,1.79801,3.34803,4.85085,0.00736,0.00736,0.00736
18,71.8513,0.65714,0.52488,1.19091,0.96799,0.92537,0.92554,0.72449,1.46982,2.31575,3.44461,0.007195,0.007195,0.007195
19,75.8164,0.62539,0.48677,1.14965,0.91521,0.86567,0.89977,0.68679,1.54283,1.65415,2.82159,0.00703,0.00703,0.00703
20,79.7636,0.7043,0.55188,1.21521,0.96919,0.91045,0.95439,0.77953,1.30618,0.88333,2.25665,0.006865,0.006865,0.006865
21,83.7502,0.6464,0.49069,1.15885,0.91011,0.91045,0.95433,0.81972,1.21578,0.88984,1.87887,0.0067,0.0067,0.0067
22,87.7223,0.61041,0.47807,1.17679,0.98024,0.98507,0.98346,0.82008,0.99986,0.64243,1.67334,0.006535,0.006535,0.006535
23,91.7094,0.62146,0.46546,1.15798,0.96899,0.98507,0.98477,0.83657,0.80037,0.62874,1.4091,0.00637,0.00637,0.00637
24,95.6976,0.56908,0.45409,1.14207,0.98093,0.92537,0.98627,0.90282,0.66313,0.67253,1.35636,0.006205,0.006205,0.006205
25,99.6753,0.58173,0.45295,1.14458,0.99787,0.9403,0.96683,0.85825,0.90503,0.93077,1.75272,0.00604,0.00604,0.00604
26,103.62,0.5747,0.46552,1.12636,0.92431,0.9403,0.96387,0.80278,1.02957,0.96719,1.7757,0.005875,0.005875,0.005875
27,107.564,0.58728,0.46926,1.15057,0.8411,0.94812,0.91748,0.64303,1.0033,1.18501,1.7014,0.00571,0.00571,0.00571
28,111.52,0.55188,0.44983,1.11847,0.76029,0.89552,0.77154,0.65118,0.60626,0.93337,1.31602,0.005545,0.005545,0.005545
29,115.464,0.55998,0.4602,1.10966,0.79602,0.8209,0.79731,0.60714,0.87737,1.45379,1.59365,0.00538,0.00538,0.00538
30,119.455,0.55422,0.43195,1.1255,0.91311,0.78429,0.86713,0.6921,0.93732,1.09503,1.60279,0.005215,0.005215,0.005215
31,123.394,0.54532,0.40528,1.08723,0.95284,0.90482,0.95374,0.78015,0.84302,0.67794,1.5291,0.00505,0.00505,0.00505
32,127.334,0.53434,0.42243,1.10875,1,0.98485,0.99444,0.87958,0.69939,0.41312,1.30541,0.004885,0.004885,0.004885
33,131.291,0.5546,0.43514,1.11502,1,0.9663,0.98818,0.87822,0.71294,0.45539,1.25339,0.00472,0.00472,0.00472
34,135.23,0.53968,0.40897,1.08849,0.9732,0.95522,0.98018,0.82818,0.80426,0.46428,1.38143,0.004555,0.004555,0.004555
35,139.174,0.52939,0.43785,1.11063,0.99764,0.98507,0.99338,0.89739,0.68282,0.40425,1.22333,0.00439,0.00439,0.00439
36,143.134,0.51834,0.39434,1.07314,1,0.99859,0.995,0.91364,0.58113,0.38198,1.10596,0.004225,0.004225,0.004225
37,147.085,0.52397,0.37869,1.0575,0.99602,0.98507,0.99418,0.8648,0.61984,0.47159,1.22516,0.00406,0.00406,0.00406
38,151.025,0.50534,0.38889,1.07519,0.9931,0.98507,0.98616,0.87251,0.68751,0.53462,1.24085,0.003895,0.003895,0.003895
39,154.983,0.49847,0.37655,1.08642,0.99804,0.98507,0.98537,0.88495,0.64217,0.47601,1.1973,0.00373,0.00373,0.00373
40,158.961,0.46998,0.38937,1.06484,1,0.98478,0.98532,0.87612,0.57447,0.44313,1.19235,0.003565,0.003565,0.003565
41,162.904,0.53266,0.40392,1.1026,0.99936,0.98507,0.98975,0.88323,0.6042,0.42034,1.23391,0.0034,0.0034,0.0034
42,166.852,0.47994,0.37128,1.09075,0.9989,0.98507,0.99471,0.89837,0.6397,0.36099,1.26171,0.003235,0.003235,0.003235
43,170.81,0.4897,0.38286,1.0673,1,0.99915,0.995,0.90747,0.58671,0.36474,1.21411,0.00307,0.00307,0.00307
44,174.755,0.4254,0.3491,1.05583,1,0.9994,0.995,0.90221,0.51804,0.3679,1.1258,0.002905,0.002905,0.002905
45,178.682,0.46171,0.34712,1.04006,1,0.99915,0.995,0.93301,0.5379,0.36665,1.1172,0.00274,0.00274,0.00274
46,182.664,0.46296,0.35187,1.01782,1,0.9993,0.995,0.95262,0.50822,0.33832,1.07833,0.002575,0.002575,0.002575
47,186.653,0.42348,0.3447,1.02824,1,0.99952,0.995,0.9581,0.52206,0.32234,1.06585,0.00241,0.00241,0.00241
48,190.618,0.37984,0.31054,1.00524,0.99987,1,0.995,0.93805,0.57908,0.35532,1.08534,0.002245,0.002245,0.002245
49,194.559,0.40732,0.33804,1.01376,0.9997,1,0.995,0.92386,0.55711,0.34066,1.08106,0.00208,0.00208,0.00208
50,198.515,0.4187,0.32924,1.02485,0.99978,1,0.995,0.94701,0.49506,0.32511,1.04002,0.001915,0.001915,0.001915
51,203.388,0.32823,0.3576,1.03099,0.99991,1,0.995,0.94303,0.50331,0.32597,1.04417,0.00175,0.00175,0.00175
52,207.344,0.32892,0.31763,1.05755,1,0.99952,0.995,0.94848,0.49903,0.34824,1.05093,0.001585,0.001585,0.001585
53,211.266,0.32058,0.31284,0.99607,1,0.99925,0.995,0.95925,0.43175,0.30984,1.04089,0.00142,0.00142,0.00142
54,215.243,0.29154,0.26711,1.03122,1,0.99903,0.995,0.94045,0.41895,0.29383,1.07108,0.001255,0.001255,0.001255
55,219.172,0.30448,0.27074,1.00028,0.99902,0.98507,0.99471,0.95644,0.38887,0.27454,1.03817,0.00109,0.00109,0.00109
56,223.104,0.29618,0.26096,1.00695,0.99896,0.98507,0.99485,0.9641,0.36669,0.27561,1.0032,0.000925,0.000925,0.000925
57,227.084,0.29267,0.29367,1.00493,0.99899,0.98507,0.99485,0.96974,0.34859,0.2645,0.99752,0.00076,0.00076,0.00076
58,231.041,0.27943,0.2593,0.97959,0.99906,0.98507,0.99485,0.96727,0.35296,0.27812,0.99685,0.000595,0.000595,0.000595
59,235.002,0.27918,0.24673,0.99375,0.99909,0.98507,0.99485,0.97628,0.36372,0.28122,0.99252,0.00043,0.00043,0.00043
60,238.97,0.26666,0.2464,0.99829,1,0.999,0.995,0.9798,0.37545,0.28295,0.9813,0.000265,0.000265,0.000265
