epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96225,0.82495,1.6613,1.4054,0.90376,0.56071,0.80773,0.44308,1.40657,3.37356,2.88688,0.0928,0.0008,0.0008
2,8.89831,0.85125,0.99909,1.34702,0.01369,0.89552,0.01483,0.00224,3.40633,12.9645,6.16089,0.0846832,0.00168317,0.00168317
3,12.8072,0.82845,0.8771,1.36257,0.02095,0.76119,0.02035,0.00552,2.76105,36.1304,6.51919,0.0765485,0.00254852,0.00254852
4,16.7272,0.84204,0.83012,1.33953,0.00205,0.07463,0.00068,0.0002,4.23055,170.208,26.854,0.0683961,0.00339605,0.00339605
5,20.6631,0.88906,0.786,1.38189,0.00205,0.02985,0.00011,2e-05,5.65199,1041.53,147.877,0.0602258,0.00422576,0.00422576
6,24.5675,0.97646,0.85151,1.42393,0.02639,0.14925,0.02047,0.00233,4.11543,24.0473,69.5648,0.0520377,0.00503765,0.00503765
7,28.4798,0.95199,0.85134,1.41286,0.1633,0.43284,0.14351,0.01698,3.68069,14.7335,17.9568,0.0438317,0.00583172,0.00583172
8,32.4086,0.87747,0.7524,1.38776,0.08555,0.86567,0.09352,0.02779,3.49925,5.06371,24.9963,0.035608,0.00660797,0.00660797
9,36.3449,0.88123,0.69238,1.36739,0.08555,0.86567,0.09352,0.02779,4.77686,8.32088,15.4755,0.0273664,0.0073664,0.0073664
10,40.3172,0.85543,0.7268,1.43323,0.00485,0.02985,0.00254,0.00025,4.8694,7.06707,23.6237,0.019107,0.00810701,0.00810701
11,44.2446,0.82944,0.66549,1.30453,0.35528,0.31256,0.21331,0.03666,3.77648,4.32804,13.2846,0.0108298,0.0088298,0.0088298
12,48.1744,0.82166,0.67392,1.30782,0.30628,0.31343,0.22765,0.05772,3.21387,5.30459,8.73165,0.008911,0.008911,0.008911
13,52.1124,0.7941,0.63665,1.29043,0.06108,0.22388,0.02203,0.00387,3.39897,6.0649,8.25741,0.008812,0.008812,0.008812
14,56.0579,0.76937,0.5601,1.29895,0.41509,0.77612,0.46945,0.15524,2.63682,4.0177,6.79797,0.008713,0.008713,0.008713
15,60.0113,0.69301,0.51151,1.19852,0.25368,0.49254,0.21393,0.09597,2.32276,4.72617,6.39426,0.008614,0.008614,0.008614
16,63.9796,0.67871,0.53704,1.17683,0.34502,0.14925,0.13092,0.0162,3.26708,6.7673,5.41599,0.008515,0.008515,0.008515
17,67.961,0.70039,0.53789,1.22714,0.26279,0.37313,0.23436,0.04868,3.03672,5.17644,5.01682,0.008416,0.008416,0.008416
18,71.9121,0.68559,0.5514,1.19531,0.73951,0.65672,0.66388,0.42809,1.99366,2.63614,3.05849,0.008317,0.008317,0.008317
19,75.8749,0.66474,0.52545,1.1762,0.49336,0.64179,0.54856,0.2852,2.10429,2.16966,3.05186,0.008218,0.008218,0.008218
20,79.83,0.66977,0.54939,1.22135,0.72282,0.79104,0.77042,0.48314,1.64966,1.88826,2.54704,0.008119,0.008119,0.008119
21,83.8064,0.66983,0.51639,1.1881,0.56512,0.74627,0.54917,0.33915,1.64233,1.91596,2.73132,0.00802,0.00802,0.00802
22,87.7865,0.67262,0.51115,1.22722,0.19461,0.47761,0.17821,0.07266,2.16917,2.72955,2.90152,0.007921,0.007921,0.007921
23,91.8026,0.65323,0.51968,1.18077,0.88235,0.76119,0.88535,0.74331,1.33003,1.47609,2.36692,0.007822,0.007822,0.007822
24,95.7908,0.6148,0.48695,1.17146,0.76235,0.8209,0.78877,0.58355,1.45056,1.59818,2.00876,0.007723,0.007723,0.007723
25,99.7219,0.6303,0.48638,1.18204,0.87626,0.73992,0.83152,0.65557,1.87692,2.10402,2.72667,0.007624,0.007624,0.007624
26,103.671,0.61862,0.4829,1.14499,0.96742,0.92537,0.94123,0.80032,1.4667,1.78845,1.66909,0.007525,0.007525,0.007525
27,107.663,0.61734,0.47143,1.17073,0.83615,0.56716,0.70622,0.43605,1.46599,1.44979,2.12133,0.007426,0.007426,0.007426
28,111.604,0.60494,0.46237,1.14676,0.90583,0.86149,0.90561,0.75818,0.84255,0.74866,1.57796,0.007327,0.007327,0.007327
29,115.548,0.6343,0.50215,1.14975,0.96942,0.94633,0.97884,0.78698,0.83672,0.72784,1.43768,0.007228,0.007228,0.007228
30,119.487,0.61577,0.49946,1.16113,0.98159,0.95522,0.98316,0.85497,0.72286,0.67918,1.32119,0.007129,0.007129,0.007129
31,123.496,0.56887,0.45497,1.10753,0.9981,0.97015,0.98625,0.87379,0.7134,0.5441,1.30102,0.00703,0.00703,0.00703
32,127.489,0.57556,0.42897,1.11875,0.99845,0.98507,0.99382,0.91318,0.47671,0.40584,1.19583,0.006931,0.006931,0.006931
33,131.477,0.5631,0.45093,1.12718,1,0.99827,0.995,0.92381,0.58566,0.43639,1.12189,0.006832,0.006832,0.006832
34,135.471,0.57551,0.43956,1.10122,0.99688,0.98507,0.99471,0.84191,0.75131,0.4414,1.37303,0.006733,0.006733,0.006733
35,139.431,0.59586,0.47767,1.15096,0.98523,0.99587,0.99485,0.9153,0.48562,0.42289,1.10201,0.006634,0.006634,0.006634
36,143.435,0.55745,0.44404,1.0955,0.98303,0.98507,0.98608,0.86705,0.86708,0.53036,1.35247,0.006535,0.006535,0.006535
37,147.395,0.58505,0.41171,1.11122,0.99664,0.97015,0.98427,0.90564,0.87317,0.52916,1.3879,0.006436,0.006436,0.006436
38,151.363,0.5669,0.42365,1.11509,0.99926,0.98507,0.99138,0.89479,0.66547,0.49908,1.29049,0.006337,0.006337,0.006337
39,155.309,0.54259,0.42465,1.09826,0.99719,0.98507,0.9904,0.90935,0.62227,0.40854,1.17703,0.006238,0.006238,0.006238
40,159.25,0.5216,0.42872,1.09913,0.99644,0.98507,0.99298,0.91253,0.51286,0.34481,1.20135,0.006139,0.006139,0.006139
41,163.169,0.59092,0.45531,1.16973,0.99282,0.98507,0.99348,0.87165,0.6539,0.41102,1.33025,0.00604,0.00604,0.00604
42,167.126,0.54918,0.42673,1.13107,0.99831,0.98507,0.99298,0.91312,0.6377,0.41286,1.21443,0.005941,0.005941,0.005941
43,171.093,0.53339,0.4415,1.10452,0.99907,0.98507,0.98538,0.88666,0.64386,0.41123,1.22998,0.005842,0.005842,0.005842
44,175.029,0.49604,0.39936,1.11424,0.99671,0.98507,0.98876,0.93695,0.57781,0.37832,1.14719,0.005743,0.005743,0.005743
45,179.024,0.49304,0.39042,1.07803,0.99641,0.98507,0.98632,0.92331,0.62785,0.42424,1.22552,0.005644,0.005644,0.005644
46,182.97,0.51656,0.40693,1.05095,0.99863,0.98507,0.98628,0.903,0.59829,0.40832,1.23829,0.005545,0.005545,0.005545
47,186.927,0.47016,0.37613,1.05488,0.99843,0.98507,0.9874,0.90456,0.70053,0.44148,1.27915,0.005446,0.005446,0.005446
48,190.938,0.45637,0.3575,1.05766,0.99794,0.98507,0.99431,0.89418,0.5669,0.41302,1.20564,0.005347,0.005347,0.005347
49,194.888,0.46231,0.37888,1.04549,1,0.99919,0.995,0.93945,0.51588,0.35875,1.11718,0.005248,0.005248,0.005248
50,198.879,0.47416,0.36965,1.05838,1,0.99909,0.995,0.9389,0.4982,0.32886,1.0878,0.005149,0.005149,0.005149
51,202.853,0.45447,0.3524,1.05555,0.9991,0.98507,0.99327,0.94913,0.41708,0.33108,1.0303,0.00505,0.00505,0.00505
52,206.831,0.4478,0.35715,1.0482,1,0.98243,0.98628,0.90404,0.5375,0.3775,1.11058,0.004951,0.004951,0.004951
53,210.775,0.45884,0.36392,1.04266,0.99824,0.98507,0.98617,0.91108,0.50482,0.37409,1.1181,0.004852,0.004852,0.004852
54,214.712,0.46117,0.38341,1.02129,0.99885,0.98507,0.98647,0.93796,0.39008,0.34419,1.03708,0.004753,0.004753,0.004753
55,218.648,0.46365,0.35662,1.05279,1,0.9988,0.995,0.9537,0.43153,0.34215,1.07311,0.004654,0.004654,0.004654
56,222.615,0.42194,0.33325,1.01633,0.99853,0.98507,0.98632,0.9163,0.56784,0.39073,1.18093,0.004555,0.004555,0.004555
57,226.566,0.45082,0.35989,1.04466,0.99848,0.98507,0.98579,0.91414,0.64742,0.45885,1.24965,0.004456,0.004456,0.004456
58,230.514,0.4945,0.39155,1.08803,0.99828,0.98507,0.98574,0.89019,0.65618,0.46566,1.25966,0.004357,0.004357,0.004357
59,234.469,0.46158,0.35743,1.0452,0.99817,0.98507,0.98575,0.88707,0.62585,0.424,1.18704,0.004258,0.004258,0.004258
60,238.424,0.46223,0.36528,1.05064,0.9971,0.98507,0.98585,0.91728,0.55101,0.38191,1.12271,0.004159,0.004159,0.004159
61,242.384,0.45101,0.35889,1.03117,0.99886,0.98507,0.98979,0.91468,0.48822,0.35508,1.13461,0.00406,0.00406,0.00406
62,246.409,0.46622,0.35761,1.0049,1,0.99896,0.995,0.92043,0.4347,0.36261,1.11986,0.003961,0.003961,0.003961
63,250.351,0.43061,0.34271,1.02761,0.99943,1,0.995,0.92826,0.43154,0.29862,1.09727,0.003862,0.003862,0.003862
64,254.333,0.44375,0.34319,1.03586,0.9998,1,0.995,0.92933,0.43601,0.2961,1.08283,0.003763,0.003763,0.003763
65,258.297,0.42418,0.33108,1.01344,1,0.99984,0.995,0.92724,0.44216,0.31301,1.0884,0.003664,0.003664,0.003664
66,262.229,0.43244,0.32804,1.03611,1,0.99955,0.995,0.90708,0.52243,0.30841,1.15763,0.003565,0.003565,0.003565
67,266.172,0.42159,0.3188,1.05009,1,0.99945,0.995,0.87302,0.63626,0.35262,1.26341,0.003466,0.003466,0.003466
68,270.115,0.39369,0.30362,1.01764,1,0.99953,0.995,0.91094,0.50712,0.31675,1.14977,0.003367,0.003367,0.003367
69,274.105,0.42979,0.3319,1.03147,1,0.99931,0.995,0.96091,0.44575,0.286,1.05778,0.003268,0.003268,0.003268
70,278.063,0.40875,0.32013,1.01796,1,0.99911,0.995,0.9737,0.45433,0.29633,1.01352,0.003169,0.003169,0.003169
71,282.041,0.39404,0.31673,1.00345,0.99913,0.98507,0.98782,0.9646,0.46186,0.30703,1.02145,0.00307,0.00307,0.00307
72,285.993,0.37965,0.32237,1.00071,0.99914,0.98507,0.98694,0.95291,0.43607,0.27091,1.06802,0.002971,0.002971,0.002971
73,289.935,0.37516,0.30172,1.01274,0.99912,0.98507,0.9875,0.96436,0.42013,0.2604,1.056,0.002872,0.002872,0.002872
74,293.879,0.39012,0.32191,1.02205,0.99914,0.98507,0.99457,0.96011,0.44734,0.24993,1.07634,0.002773,0.002773,0.002773
75,297.81,0.38784,0.31274,0.99177,0.99913,0.98507,0.99393,0.95537,0.43345,0.25923,1.0964,0.002674,0.002674,0.002674
76,301.776,0.375,0.31225,1.00802,0.99913,0.98507,0.99431,0.9588,0.43486,0.23118,1.09045,0.002575,0.002575,0.002575
77,305.724,0.37413,0.31658,1.00186,1,0.99915,0.995,0.95148,0.47433,0.27297,1.10207,0.002476,0.002476,0.002476
78,309.677,0.39895,0.30821,1.01293,1,0.99923,0.995,0.94635,0.46089,0.29359,1.08391,0.002377,0.002377,0.002377
79,313.624,0.35221,0.28364,0.99215,1,0.99955,0.995,0.96046,0.47391,0.27579,1.08555,0.002278,0.002278,0.002278
80,317.608,0.37579,0.29949,1.00095,1,0.99966,0.995,0.9662,0.42772,0.29126,1.06382,0.002179,0.002179,0.002179
81,321.54,0.37357,0.29508,0.98871,1,0.99959,0.995,0.97738,0.43881,0.30964,1.0428,0.00208,0.00208,0.00208
82,325.499,0.36775,0.28336,1.00134,1,0.9997,0.995,0.97853,0.46042,0.29607,1.0266,0.001981,0.001981,0.001981
83,329.492,0.37468,0.31213,0.9888,1,0.99967,0.995,0.9709,0.46372,0.29724,1.02004,0.001882,0.001882,0.001882
84,333.436,0.33278,0.28691,0.98814,1,0.99942,0.995,0.94896,0.46589,0.2877,1.04316,0.001783,0.001783,0.001783
85,337.381,0.34492,0.28146,0.99374,1,0.99951,0.995,0.96633,0.47909,0.28905,1.04843,0.001684,0.001684,0.001684
86,341.335,0.36303,0.29298,1.00843,1,0.99967,0.995,0.97572,0.49899,0.29229,1.04555,0.001585,0.001585,0.001585
87,345.282,0.35542,0.2815,0.97548,1,0.99993,0.995,0.97436,0.49176,0.27858,1.03903,0.001486,0.001486,0.001486
88,349.234,0.3254,0.26672,0.97668,1,0.99994,0.995,0.96952,0.47385,0.25725,1.03971,0.001387,0.001387,0.001387
89,353.178,0.32968,0.25264,0.96901,1,0.9997,0.995,0.96025,0.48076,0.24067,1.04304,0.001288,0.001288,0.001288
90,357.124,0.36992,0.28723,1.00224,1,0.99943,0.995,0.97477,0.47498,0.24421,1.04606,0.001189,0.001189,0.001189
91,362.065,0.2819,0.28699,0.96729,1,0.9994,0.995,0.97639,0.44539,0.24846,1.02874,0.00109,0.00109,0.00109
