epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,174.648,0.33653,0.26565,1.0039,0.99963,1,0.995,0.9223,0.40733,0.25392,1.08752,0.005743,0.005743,0.005743
45,178.604,0.33674,0.25321,0.97347,0.99929,1,0.995,0.91884,0.43432,0.22113,1.09714,0.005644,0.005644,0.005644
46,182.583,0.36251,0.26279,0.96094,0.99936,1,0.995,0.95293,0.45197,0.29038,1.08772,0.005545,0.005545,0.005545
47,186.536,0.35141,0.26326,0.98534,0.99937,0.98507,0.99418,0.95456,0.55635,0.43969,1.17052,0.005446,0.005446,0.005446
48,190.496,0.30574,0.23836,0.96371,0.9829,0.98507,0.99292,0.96038,0.55922,0.40178,1.15612,0.005347,0.005347,0.005347
49,194.46,0.33536,0.26698,0.96288,0.99897,0.98507,0.98711,0.9609,0.55075,0.35812,1.17332,0.005248,0.005248,0.005248
50,198.435,0.33573,0.2561,0.97622,0.99876,0.98507,0.98716,0.95484,0.4675,0.31219,1.15205,0.005149,0.005149,0.005149
51,202.399,0.32825,0.24271,0.99186,0.99856,0.98507,0.98634,0.96116,0.40981,0.27319,1.11416,0.00505,0.00505,0.00505
52,206.392,0.3131,0.24921,0.96281,0.99871,0.98507,0.98626,0.95473,0.45344,0.28105,1.08471,0.004951,0.004951,0.004951
53,210.352,0.33455,0.25843,0.96672,0.99874,0.98507,0.98649,0.94869,0.43911,0.26896,1.06571,0.004852,0.004852,0.004852
54,214.321,0.33566,0.26457,0.95091,0.99896,0.98507,0.9867,0.95902,0.39546,0.24981,1.02846,0.004753,0.004753,0.004753
55,218.279,0.34418,0.25781,0.97955,0.99829,0.98507,0.98721,0.9655,0.39298,0.25519,1.02241,0.004654,0.004654,0.004654
56,222.223,0.30898,0.22795,0.948,0.99729,0.98507,0.9882,0.97753,0.41521,0.262,1.01715,0.004555,0.004555,0.004555
57,226.2,0.33631,0.25547,0.97578,0.99576,0.98507,0.98942,0.97021,0.47283,0.26086,1.07602,0.004456,0.004456,0.004456
58,230.168,0.33681,0.27027,0.98862,0.9966,0.98507,0.98843,0.97451,0.50346,0.25306,1.09831,0.004357,0.004357,0.004357
59,234.131,0.33803,0.24972,0.98401,0.99817,0.98507,0.9883,0.92484,0.5647,0.27935,1.13599,0.004258,0.004258,0.004258
60,238.096,0.33586,0.26335,0.98539,0.99902,0.98507,0.98818,0.96997,0.43106,0.28796,1.06648,0.004159,0.004159,0.004159
61,242.067,0.33808,0.26389,0.98094,0.99902,0.98507,0.98823,0.96382,0.39496,0.28603,1.05498,0.00406,0.00406,0.00406
62,246.038,0.36086,0.26497,0.95264,0.99897,0.98507,0.98801,0.95117,0.42281,0.29581,1.06872,0.003961,0.003961,0.003961
63,249.988,0.3369,0.25875,0.98388,0.99901,0.98507,0.98818,0.96069,0.40229,0.27356,1.03465,0.003862,0.003862,0.003862
64,253.966,0.35226,0.26434,0.99543,0.99906,0.98507,0.98818,0.9475,0.43424,0.23846,1.04431,0.003763,0.003763,0.003763
65,257.915,0.33528,0.25602,0.96811,0.9991,0.98507,0.98789,0.94761,0.41374,0.2436,1.02767,0.003664,0.003664,0.003664
66,261.868,0.30457,0.24066,0.96539,0.99912,0.98507,0.98721,0.94835,0.40072,0.2419,1.01256,0.003565,0.003565,0.003565
67,265.84,0.31922,0.24072,0.97305,0.99906,0.98507,0.9864,0.94458,0.39576,0.24518,1.01986,0.003466,0.003466,0.003466
68,269.806,0.31088,0.2333,0.9735,0.99907,0.98507,0.98618,0.94945,0.41878,0.25088,1.05443,0.003367,0.003367,0.003367
69,273.763,0.3279,0.26658,0.98134,0.99904,0.98507,0.98651,0.93644,0.42965,0.24694,1.0503,0.003268,0.003268,0.003268
70,277.743,0.31364,0.23868,0.96072,0.99694,0.98507,0.99457,0.94649,0.40692,0.23367,1.01865,0.003169,0.003169,0.003169
71,281.712,0.30663,0.23101,0.95764,0.99808,0.98507,0.99457,0.95043,0.42191,0.21155,1.01716,0.00307,0.00307,0.00307
72,285.68,0.29788,0.22814,0.96169,1,0.99906,0.995,0.96571,0.37483,0.20884,0.99514,0.002971,0.002971,0.002971
73,289.656,0.2926,0.22509,0.96771,1,0.99915,0.995,0.96794,0.33832,0.21559,0.96937,0.002872,0.002872,0.002872
74,293.631,0.29128,0.23103,0.96944,0.99913,0.98507,0.98597,0.96277,0.34871,0.22352,0.97756,0.002773,0.002773,0.002773
75,297.592,0.31654,0.24605,0.95164,0.99911,0.98507,0.98627,0.96297,0.35702,0.23484,0.98851,0.002674,0.002674,0.002674
76,301.55,0.29656,0.2349,0.96728,0.99914,0.98507,0.99327,0.97081,0.35065,0.22853,0.97155,0.002575,0.002575,0.002575
77,305.507,0.2944,0.23818,0.95679,0.99914,0.98507,0.99444,0.97112,0.35732,0.23353,0.96756,0.002476,0.002476,0.002476
78,309.47,0.3058,0.22787,0.96455,1,0.99913,0.995,0.97183,0.37884,0.25015,0.96998,0.002377,0.002377,0.002377
79,313.432,0.27161,0.21257,0.95293,1,0.99914,0.995,0.97501,0.3965,0.26564,0.97131,0.002278,0.002278,0.002278
80,317.411,0.2811,0.20911,0.95768,0.99914,0.98507,0.99431,0.96606,0.42469,0.27017,1.00001,0.002179,0.002179,0.002179
81,321.357,0.30217,0.21897,0.94938,0.99915,0.98507,0.99471,0.96933,0.40282,0.25113,0.98634,0.00208,0.00208,0.00208
82,325.33,0.27866,0.20382,0.95449,1,0.99917,0.995,0.9705,0.37468,0.23068,0.9713,0.001981,0.001981,0.001981
83,329.327,0.28775,0.23088,0.94882,1,0.9992,0.995,0.98138,0.38164,0.2349,0.98353,0.001882,0.001882,0.001882
84,333.299,0.25018,0.20316,0.9471,1,0.99924,0.995,0.97401,0.40216,0.24979,1.00523,0.001783,0.001783,0.001783
85,337.278,0.27368,0.2117,0.95422,1,0.99923,0.995,0.97379,0.39442,0.22721,0.99447,0.001684,0.001684,0.001684
86,341.228,0.26912,0.21784,0.95563,1,0.99922,0.995,0.97761,0.38451,0.21484,0.98498,0.001585,0.001585,0.001585
87,345.179,0.26837,0.20135,0.93666,1,0.99917,0.995,0.97424,0.38828,0.21363,0.98954,0.001486,0.001486,0.001486
88,349.152,0.26073,0.19303,0.94396,0.99909,0.98507,0.99485,0.96827,0.3883,0.21117,0.99069,0.001387,0.001387,0.001387
89,353.103,0.25294,0.19023,0.93005,0.99902,0.98507,0.99485,0.97342,0.40911,0.21186,1.00461,0.001288,0.001288,0.001288
90,357.061,0.27861,0.21548,0.95985,0.99899,0.98507,0.99485,0.97007,0.42103,0.22009,1.01652,0.001189,0.001189,0.001189
91,362.091,0.21123,0.18474,0.90167,0.99892,0.98507,0.99485,0.97516,0.40508,0.22553,0.99662,0.00109,0.00109,0.00109
92,366.075,0.21234,0.1892,0.93551,0.99884,0.98507,0.98705,0.97837,0.37957,0.21619,0.97418,0.000991,0.000991,0.000991
93,370.012,0.18738,0.16381,0.90726,0.99885,0.98507,0.99485,0.97209,0.36988,0.21362,0.96743,0.000892,0.000892,0.000892
94,373.958,0.20695,0.15587,0.94672,1,0.99882,0.995,0.98293,0.36609,0.21713,0.96372,0.000793,0.000793,0.000793
95,377.925,0.19035,0.16001,0.88763,1,0.99898,0.995,0.98147,0.37516,0.2336,0.96591,0.000694,0.000694,0.000694
96,381.865,0.2506,0.20973,1.03993,1,0.99904,0.995,0.9788,0.37151,0.24034,0.96732,0.000595,0.000595,0.000595
97,385.829,0.18517,0.15682,0.90884,1,0.9989,0.995,0.98086,0.36124,0.23686,0.96164,0.000496,0.000496,0.000496
98,389.783,0.18578,0.14466,0.92425,0.99891,0.98507,0.99485,0.98108,0.35139,0.22872,0.9584,0.000397,0.000397,0.000397
99,393.758,0.18787,0.14979,0.92303,0.99893,0.98507,0.99485,0.98409,0.34406,0.22398,0.95517,0.000298,0.000298,0.000298
100,397.727,0.17777,0.14126,0.91135,0.99894,0.98507,0.99471,0.98524,0.34294,0.22122,0.95438,0.000199,0.000199,0.000199
