epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.97404,0.82495,1.6613,1.4054,0.90376,0.56071,0.80773,0.44308,1.40657,3.37356,2.88688,0.0928,0.0008,0.0008
2,8.90511,0.84089,0.99435,1.34293,0.01309,0.26866,0.01138,0.00174,3.59551,15.424,7.64468,0.0846663,0.00166634,0.00166634
3,12.8074,0.85011,0.87103,1.37462,0.01556,0.64179,0.01343,0.0022,3.33053,48.483,8.54987,0.076497,0.00249704,0.00249704
4,16.6945,0.92868,0.86082,1.41207,0.00427,0.19403,0.00201,0.00027,3.96332,482.096,27.7276,0.0682921,0.0032921,0.0032921
5,20.5869,0.8683,0.82843,1.37828,0.01047,0.76119,0.0096,0.00308,3.10386,446.935,20.2523,0.0600515,0.00405152,0.00405152
6,24.476,0.92195,0.80765,1.37443,0.01047,0.76119,0.0096,0.00308,5.10974,287.561,46.4131,0.0517753,0.0047753,0.0047753
7,28.3725,0.88506,0.76334,1.35801,0.01047,0.76119,0.0096,0.00308,4.65203,11.654,22.2053,0.0434634,0.00546344,0.00546344
8,32.2829,0.87623,0.72477,1.37484,0.01047,0.76119,0.0096,0.00308,4.13845,9.61081,12.8331,0.0351159,0.00611594,0.00611594
9,36.173,0.78299,0.64521,1.2935,0.02278,0.14925,0.01318,0.00284,4.29768,6.31389,19.5824,0.0267328,0.0067328,0.0067328
10,40.0757,0.80955,0.6862,1.37874,0.17039,0.91045,0.26397,0.08885,2.86944,4.58258,12.668,0.018314,0.00731402,0.00731402
11,43.9849,0.74392,0.61206,1.21154,0.1291,0.8806,0.15098,0.05866,3.23287,4.45777,10.3738,0.0098596,0.0078596,0.0078596
12,48.033,0.71672,0.58437,1.23446,0.54656,0.52239,0.49755,0.20774,3.0281,3.22305,6.60725,0.007822,0.007822,0.007822
13,52.0928,0.71853,0.58953,1.22957,0.07322,0.43284,0.07648,0.05128,2.27874,4.08633,3.84599,0.007624,0.007624,0.007624
14,56.1644,0.76431,0.56858,1.27722,0.32076,0.70149,0.30124,0.25203,1.38439,2.82545,2.99557,0.007426,0.007426,0.007426
15,60.1706,0.64784,0.49908,1.15957,0.38118,0.5149,0.34516,0.23296,1.94893,4.50968,3.42006,0.007228,0.007228,0.007228
16,64.144,0.6469,0.50524,1.15535,0.88961,0.86567,0.8581,0.43701,1.74804,3.78099,3.24884,0.00703,0.00703,0.00703
17,68.1199,0.66437,0.49617,1.19297,0.79557,0.8806,0.83408,0.48958,1.52499,2.2336,2.6517,0.006832,0.006832,0.006832
18,72.111,0.62031,0.49145,1.15723,0.70597,0.49254,0.53572,0.24823,2.28417,3.35712,3.26069,0.006634,0.006634,0.006634
19,76.0775,0.63529,0.46691,1.15047,0.59387,0.1194,0.12664,0.07288,2.42346,5.79322,3.17392,0.006436,0.006436,0.006436
20,80.0358,0.68525,0.52219,1.21934,0.49257,0.53731,0.50045,0.329,1.91724,3.40753,2.73484,0.006238,0.006238,0.006238
21,83.9967,0.6187,0.50576,1.14448,0.71732,0.58209,0.64842,0.27374,1.30946,2.14966,1.73756,0.00604,0.00604,0.00604
22,87.9551,0.59369,0.47559,1.1625,0.65635,0.62687,0.78589,0.69627,1.09887,1.73919,1.58567,0.005842,0.005842,0.005842
23,91.9564,0.61078,0.45714,1.17356,0.96373,0.89552,0.95423,0.85748,0.90425,1.04564,1.45453,0.005644,0.005644,0.005644
24,95.9461,0.57538,0.44819,1.13178,0.98846,0.97015,0.98621,0.88419,0.64638,0.60949,1.36116,0.005446,0.005446,0.005446
25,99.916,0.57755,0.44377,1.13947,1,0.98444,0.98749,0.84865,0.76399,0.82837,1.51266,0.005248,0.005248,0.005248
26,103.868,0.55413,0.44038,1.11818,1,0.98033,0.98628,0.91099,0.65342,0.7773,1.31295,0.00505,0.00505,0.00505
27,107.842,0.53108,0.43694,1.11541,0.99657,0.98507,0.9861,0.91223,0.65719,0.78588,1.28458,0.004852,0.004852,0.004852
28,111.893,0.52057,0.42515,1.09759,1,0.93955,0.98144,0.87872,0.80112,1.02734,1.37084,0.004654,0.004654,0.004654
29,115.871,0.53153,0.42183,1.08356,0.98488,0.97226,0.98583,0.89619,0.66272,0.6239,1.22645,0.004456,0.004456,0.004456
30,119.843,0.51228,0.40277,1.09716,0.98975,0.98507,0.99132,0.90226,0.50531,0.40142,1.1855,0.004258,0.004258,0.004258
31,123.787,0.50708,0.38701,1.06641,0.99337,0.98507,0.99431,0.91444,0.51252,0.43915,1.14144,0.00406,0.00406,0.00406
32,127.755,0.50319,0.40039,1.08125,0.98293,0.98507,0.99416,0.9339,0.47076,0.35203,1.11603,0.003862,0.003862,0.003862
33,131.73,0.51367,0.39754,1.08335,0.99838,0.98507,0.99393,0.8967,0.48819,0.36075,1.2069,0.003664,0.003664,0.003664
34,135.669,0.49391,0.38493,1.06413,0.99976,0.98507,0.99098,0.92571,0.49394,0.38826,1.17144,0.003466,0.003466,0.003466
35,139.622,0.47851,0.39497,1.07608,0.99899,0.98507,0.99036,0.93192,0.4562,0.39522,1.09286,0.003268,0.003268,0.003268
36,143.575,0.45611,0.36142,1.03467,0.99899,0.98507,0.99098,0.95553,0.45012,0.35851,1.06911,0.00307,0.00307,0.00307
37,147.55,0.47777,0.35784,1.04639,0.99894,0.98507,0.99485,0.96488,0.47961,0.34828,1.05355,0.002872,0.002872,0.002872
38,151.541,0.46336,0.35519,1.04165,1,0.99947,0.995,0.95539,0.44256,0.30563,1.03234,0.002674,0.002674,0.002674
39,155.481,0.45525,0.35713,1.04649,1,0.99954,0.995,0.96096,0.42735,0.29257,1.0283,0.002476,0.002476,0.002476
40,159.452,0.42424,0.36069,1.02866,1,0.99924,0.995,0.95184,0.43908,0.31109,1.03574,0.002278,0.002278,0.002278
41,164.298,0.38358,0.48364,1.07139,0.99864,0.98507,0.9937,0.95591,0.44052,0.36008,1.02794,0.00208,0.00208,0.00208
42,168.259,0.32667,0.35052,1.04747,0.99892,0.98507,0.99058,0.95182,0.42001,0.40963,1.02777,0.001882,0.001882,0.001882
