epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19359,0.35315,0.29047,0.98776,0.70476,0.50746,0.50569,0.27596,1.87464,2.77527,2.54218,0.0928,0.0008,0.0008
2,9.09048,0.43722,0.3308,1.01534,0.96612,0.95522,0.9812,0.85504,0.89796,0.78933,1.49819,0.0846832,0.00168317,0.00168317
3,12.9942,0.4032,0.32321,1.0419,0.9775,0.98507,0.99327,0.86601,0.62358,0.47264,1.23306,0.0765485,0.00254852,0.00254852
4,16.9059,0.4735,0.35238,1.05479,0.99974,0.98507,0.98541,0.88896,0.61142,0.38976,1.17343,0.0683961,0.00339605,0.00339605
5,20.8259,0.45171,0.36661,1.05386,0.99762,0.97015,0.97553,0.89969,0.6933,0.53098,1.23345,0.0602258,0.00422576,0.00422576
6,24.7548,0.52979,0.39074,1.07922,0.99827,0.95522,0.98529,0.89013,0.55614,0.37174,1.16647,0.0520377,0.00503765,0.00503765
7,28.6529,0.49299,0.37254,1.0484,0.99867,0.98507,0.98953,0.86331,0.792,0.40748,1.36009,0.0438317,0.00583172,0.00583172
8,32.5806,0.48273,0.39853,1.07006,1,0.93941,0.96284,0.8797,1.02518,0.45322,1.38708,0.035608,0.00660797,0.00660797
9,36.4859,0.49968,0.3814,1.06998,0.99523,0.92537,0.98062,0.79519,1.04073,0.61761,1.69471,0.0273664,0.0073664,0.0073664
10,40.401,0.4918,0.45126,1.12638,0.99304,0.92537,0.97097,0.8728,0.76111,0.73639,1.326,0.019107,0.00810701,0.00810701
11,44.3307,0.51842,0.41336,1.06957,0.99571,0.98507,0.98538,0.85461,0.71182,0.4735,1.24519,0.0108298,0.0088298,0.0088298
12,48.2581,0.54328,0.43328,1.09679,0.95647,0.98507,0.98428,0.86887,0.61971,0.63058,1.24389,0.008911,0.008911,0.008911
13,52.1869,0.54058,0.42203,1.09552,0.83621,0.86567,0.93196,0.73336,0.80683,1.03723,1.37669,0.008812,0.008812,0.008812
14,56.1031,0.55228,0.42054,1.11283,0.89509,0.85075,0.9391,0.73658,1.01125,0.98379,1.53654,0.008713,0.008713,0.008713
15,60.0363,0.50847,0.39669,1.06128,0.72391,0.73134,0.8212,0.59462,1.36072,1.57633,1.9747,0.008614,0.008614,0.008614
16,63.9762,0.54731,0.41139,1.0719,0.97102,0.77612,0.88185,0.77746,1.24514,1.64553,1.84505,0.008515,0.008515,0.008515
17,67.8932,0.52235,0.41204,1.0842,0.91634,0.83582,0.91571,0.84942,0.70873,0.73177,1.24022,0.008416,0.008416,0.008416
18,71.8114,0.51338,0.40786,1.0758,0.96584,0.97015,0.97825,0.93631,0.48827,0.45658,1.1127,0.008317,0.008317,0.008317
19,75.7569,0.50912,0.39135,1.0737,1,0.98354,0.98527,0.88627,0.61061,0.47691,1.23736,0.008218,0.008218,0.008218
