epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7503,0.31616,0.24188,0.96685,1,0.87812,0.91804,0.79221,1.35349,2.67237,1.97245,0.0928,0.0008,0.0008
2,19.7005,0.37994,0.29564,0.98281,0.79227,0.62687,0.76502,0.61062,0.72151,1.44264,1.3077,0.0846832,0.00168317,0.00168317
3,23.6292,0.34225,0.26923,0.99742,0.98485,0.96996,0.98513,0.89503,0.52264,0.38724,1.11355,0.0765485,0.00254852,0.00254852
4,27.5644,0.42139,0.30166,1.02633,0.9975,0.98507,0.98536,0.94167,0.48147,0.36434,1.15671,0.0683961,0.00339605,0.00339605
5,31.5172,0.39984,0.31598,1.01593,0.95436,0.98507,0.98365,0.93902,0.4977,0.5386,1.16635,0.0602258,0.00422576,0.00422576
6,35.4458,0.4358,0.33936,1.0219,1,0.97372,0.98541,0.94907,0.43381,0.40858,1.04294,0.0520377,0.00503765,0.00503765
7,39.4162,0.42781,0.31564,1.00597,0.9986,0.98507,0.98557,0.93149,0.53174,0.36771,1.13924,0.0438317,0.00583172,0.00583172
8,43.3596,0.42425,0.33175,1.02338,0.99646,0.98507,0.98565,0.93154,0.44626,0.34162,1.10834,0.035608,0.00660797,0.00660797
9,47.2913,0.45503,0.34427,1.03218,0.98311,0.98507,0.98459,0.93364,0.48608,0.48353,1.16724,0.0273664,0.0073664,0.0073664
10,51.2184,0.45683,0.42173,1.08707,0.96538,0.9403,0.98319,0.90184,0.69156,0.66552,1.32712,0.019107,0.00810701,0.00810701
11,55.1689,0.50029,0.39212,1.04067,0.97501,0.9403,0.98133,0.88264,0.66287,0.64495,1.31128,0.0108298,0.0088298,0.0088298
12,59.1027,0.46489,0.36058,1.04567,0.95583,0.96898,0.98385,0.90046,0.57621,0.3724,1.18518,0.008911,0.008911,0.008911
13,63.0771,0.44332,0.34307,1.03764,0.99869,0.98507,0.98606,0.93313,0.54339,0.33997,1.15632,0.008812,0.008812,0.008812
14,67.0307,0.48224,0.34662,1.05996,0.99868,0.98507,0.98571,0.85829,0.73539,0.36486,1.32288,0.008713,0.008713,0.008713
15,70.9716,0.44074,0.32562,1.02148,0.99887,0.98507,0.98577,0.89388,0.55739,0.38862,1.18556,0.008614,0.008614,0.008614
16,74.9128,0.44687,0.33711,1.00722,0.99135,0.98507,0.99298,0.86397,0.73034,0.48788,1.30521,0.008515,0.008515,0.008515
17,78.8605,0.45573,0.3489,1.04014,0.99872,0.98507,0.99244,0.89015,0.65073,0.38038,1.26269,0.008416,0.008416,0.008416
18,82.8074,0.43682,0.33546,1.03485,0.99879,0.98507,0.99405,0.8884,0.54348,0.37358,1.17483,0.008317,0.008317,0.008317
19,86.7556,0.43123,0.32398,1.01299,0.99817,0.98507,0.99431,0.88516,0.55245,0.40378,1.20572,0.008218,0.008218,0.008218
20,90.7192,0.46419,0.35575,1.05325,0.99559,0.98507,0.99163,0.89246,0.55676,0.41964,1.1558,0.008119,0.008119,0.008119
21,94.6765,0.45527,0.36055,1.02742,0.99637,0.98507,0.99338,0.93943,0.4265,0.31031,1.04651,0.00802,0.00802,0.00802
22,98.6707,0.42845,0.35088,1.03107,0.99645,0.98507,0.99253,0.94674,0.43007,0.30599,1.02279,0.007921,0.007921,0.007921
23,102.63,0.43367,0.32776,1.03124,0.99846,0.98507,0.99457,0.93735,0.50836,0.37376,1.10035,0.007822,0.007822,0.007822
24,106.59,0.40918,0.32602,1.0282,0.99891,0.98507,0.99471,0.90618,0.50761,0.3378,1.17226,0.007723,0.007723,0.007723
25,110.547,0.41241,0.31982,1.02116,0.99908,0.98507,0.99444,0.95469,0.44804,0.33413,1.13967,0.007624,0.007624,0.007624
26,114.536,0.4107,0.31526,1.0193,0.99882,0.98507,0.99444,0.92081,0.4812,0.34764,1.17136,0.007525,0.007525,0.007525
27,118.515,0.39772,0.32688,1.0194,0.99799,0.98507,0.99098,0.94912,0.43707,0.32401,1.05384,0.007426,0.007426,0.007426
28,122.496,0.4166,0.32147,1.01621,0.99881,0.98507,0.98585,0.96693,0.49068,0.34473,1.10018,0.007327,0.007327,0.007327
29,126.481,0.43192,0.33595,1.01838,0.99876,0.98507,0.98562,0.90385,0.49211,0.32908,1.11993,0.007228,0.007228,0.007228
30,130.442,0.43187,0.32714,1.03619,0.95337,0.98507,0.98279,0.91983,0.4845,0.32558,1.09309,0.007129,0.007129,0.007129
31,134.388,0.41601,0.31599,1.00774,0.95469,0.98507,0.98418,0.9266,0.66147,0.36246,1.21697,0.00703,0.00703,0.00703
32,138.348,0.42626,0.32533,1.03129,0.99587,0.98507,0.9871,0.95134,0.53842,0.39563,1.24142,0.006931,0.006931,0.006931
33,142.298,0.43601,0.32604,1.03453,0.99886,0.98507,0.98658,0.96493,0.50316,0.42132,1.19102,0.006832,0.006832,0.006832
34,146.242,0.41071,0.31755,1.0041,1,0.96649,0.98672,0.95774,0.49679,0.35975,1.14199,0.006733,0.006733,0.006733
35,150.196,0.41762,0.33439,1.03715,0.99265,0.98507,0.99191,0.97258,0.40501,0.29884,1.05409,0.006634,0.006634,0.006634
36,154.162,0.37334,0.28738,0.98246,0.99799,0.98507,0.99471,0.95372,0.45854,0.29828,1.02362,0.006535,0.006535,0.006535
37,158.097,0.4085,0.29669,0.99123,1,0.99924,0.995,0.95927,0.47262,0.31297,1.03066,0.006436,0.006436,0.006436
38,162.059,0.39869,0.29598,1.00137,0.99901,0.98507,0.99485,0.95546,0.40439,0.2777,1.02829,0.006337,0.006337,0.006337
39,166.033,0.40998,0.30732,1.02173,0.99893,0.98507,0.99228,0.96825,0.41351,0.27588,1.01692,0.006238,0.006238,0.006238
40,169.978,0.40753,0.31729,1.01453,0.999,0.98507,0.99126,0.97505,0.55142,0.37031,1.12493,0.006139,0.006139,0.006139
41,173.947,0.43782,0.33647,1.04564,0.96927,0.98507,0.9888,0.95178,0.49582,0.32776,1.0936,0.00604,0.00604,0.00604
42,177.896,0.38645,0.30582,1.02205,0.99908,0.98507,0.98702,0.94643,0.47935,0.28277,1.08014,0.005941,0.005941,0.005941
43,181.84,0.42389,0.33936,1.03106,0.99909,0.98507,0.98695,0.94954,0.45703,0.29379,1.07053,0.005842,0.005842,0.005842
44,185.796,0.36081,0.29796,1.01557,0.99899,0.98507,0.987,0.97739,0.36095,0.26312,0.96322,0.005743,0.005743,0.005743
45,189.77,0.36697,0.28459,0.99223,0.99906,0.98507,0.99457,0.95863,0.38198,0.24272,0.98215,0.005644,0.005644,0.005644
46,193.733,0.38213,0.30412,0.97469,1,0.99911,0.995,0.94301,0.34555,0.257,0.98064,0.005545,0.005545,0.005545
47,197.664,0.36852,0.2811,0.99383,0.9991,0.98507,0.99471,0.91461,0.4064,0.29684,1.02776,0.005446,0.005446,0.005446
